Sequence_ID,Binding_Score_Sum,Isolated_Id,Strain,Subtype,Collection_Date
A_Jiangsu-Liangxi_SWL1693_2018|EPI_ISL_335052|A_/_H1N1|2018-05-02,0,EPI_ISL_335052,A_Jiangsu-Liangxi_SWL1693_2018,A_/_H1N1,2018-05-02
A_Jiangsu-Liangxi_SWL1826_2024|EPI_ISL_19599381|A_/_H1N1|2024-11-11,2,EPI_ISL_19599381,A_Jiangsu-Liangxi_SWL1826_2024,A_/_H1N1,2024-11-11
A_Jiangsu-Liangxi_SWL1922_2018|EPI_ISL_334985|A_/_H1N1|2018-06-11,0,EPI_ISL_334985,A_Jiangsu-Liangxi_SWL1922_2018,A_/_H1N1,2018-06-11
A_Jiangsu-Nanchang_SWL138_2010|EPI_ISL_74984|A_/_H1N1|2010-01-14,0,EPI_ISL_74984,A_Jiangsu-Nanchang_SWL138_2010,A_/_H1N1,2010-01-14
A_Jiangsu-Nanchang_SWL160_2010|EPI_ISL_74985|A_/_H1N1|2010-01-21,0,EPI_ISL_74985,A_Jiangsu-Nanchang_SWL160_2010,A_/_H1N1,2010-01-21
A_Jiangsu-Nanchang_SWL190_2010|EPI_ISL_74976|A_/_H1N1|2010-02-02,0,EPI_ISL_74976,A_Jiangsu-Nanchang_SWL190_2010,A_/_H1N1,2010-02-02
A_Jiangsu-Nanjinggulou_SWL11114_2019|EPI_ISL_367245|A_/_H1N1|2019-04-10,0,EPI_ISL_367245,A_Jiangsu-Nanjinggulou_SWL11114_2019,A_/_H1N1,2019-04-10
A_Jiangsu-Nanjinggulou_SWL120_2016|EPI_ISL_223373|A_/_H1N1|2016-01-04,0,EPI_ISL_223373,A_Jiangsu-Nanjinggulou_SWL120_2016,A_/_H1N1,2016-01-04
A_Jiangsu-Nanjinggulou_SWL13110_2018|EPI_ISL_334642|A_/_H1N1|2018-09-26,0,EPI_ISL_334642,A_Jiangsu-Nanjinggulou_SWL13110_2018,A_/_H1N1,2018-09-26
A_Jiangsu-Qidong_SWL34_2024|EPI_ISL_19675083|A_/_H1N1|2024-11-18,2,EPI_ISL_19675083,A_Jiangsu-Qidong_SWL34_2024,A_/_H1N1,2024-11-18
A_Jiangsu-Qingjiangpu_SWL11432_2024|EPI_ISL_19599443|A_/_H1N1|2024-09-23,2,EPI_ISL_19599443,A_Jiangsu-Qingjiangpu_SWL11432_2024,A_/_H1N1,2024-09-23
A_Jiangsu-Qingjiangpu_SWL11466_2024|EPI_ISL_19599444|A_/_H1N1|2024-09-30,2,EPI_ISL_19599444,A_Jiangsu-Qingjiangpu_SWL11466_2024,A_/_H1N1,2024-09-30
A_Jiangsu-Qingjiangpu_SWL11546_2024|EPI_ISL_19675098|A_/_H1N1|2024-10-16,2,EPI_ISL_19675098,A_Jiangsu-Qingjiangpu_SWL11546_2024,A_/_H1N1,2024-10-16
A_Jiangsu-Qingpu_SWL11536_2015|EPI_ISL_207836|A_/_H1N1|2015-09-29,0,EPI_ISL_207836,A_Jiangsu-Qingpu_SWL11536_2015,A_/_H1N1,2015-09-29
A_Jiangsu-Qinhuai_SWL11010_2018|EPI_ISL_336902|A_/_H1N1|2018-12-12,0,EPI_ISL_336902,A_Jiangsu-Qinhuai_SWL11010_2018,A_/_H1N1,2018-12-12
A_Jiangsu-Qinhuai_SWL11032_2015|EPI_ISL_212615|A_/_H1N1|2015-12-21,0,EPI_ISL_212615,A_Jiangsu-Qinhuai_SWL11032_2015,A_/_H1N1,2015-12-21
A_Jiangsu-Qinhuai_SWL11396_2013|EPI_ISL_153254|A_/_H1N1|2013-11-21,0,EPI_ISL_153254,A_Jiangsu-Qinhuai_SWL11396_2013,A_/_H1N1,2013-11-21
A_Jiangsu-Qinhuai_SWL167_2010|EPI_ISL_75085|A_/_H1N1|2010-01-27,0,EPI_ISL_75085,A_Jiangsu-Qinhuai_SWL167_2010,A_/_H1N1,2010-01-27
A_Jiangsu-Quanshan_SWL111_2016|EPI_ISL_207693|A_/_H1N1|2016-01-05,0,EPI_ISL_207693,A_Jiangsu-Quanshan_SWL111_2016,A_/_H1N1,2016-01-05
A_Jiangsu-Quanshan_SWL118_2016|EPI_ISL_207692|A_/_H1N1|2016-01-05,0,EPI_ISL_207692,A_Jiangsu-Quanshan_SWL118_2016,A_/_H1N1,2016-01-05
A_Jiangsu-Quanshan_SWL12038_2015|EPI_ISL_212570|A_/_H1N1|2015-12-22,0,EPI_ISL_212570,A_Jiangsu-Quanshan_SWL12038_2015,A_/_H1N1,2015-12-22
A_Jiangsu-Quanshan_SWL12062_2015|EPI_ISL_207702|A_/_H1N1|2015-12-29,0,EPI_ISL_207702,A_Jiangsu-Quanshan_SWL12062_2015,A_/_H1N1,2015-12-29
A_Jiangsu-Quanshan_SWL1308_2010|EPI_ISL_74997|A_/_H1N1|2010-02-24,0,EPI_ISL_74997,A_Jiangsu-Quanshan_SWL1308_2010,A_/_H1N1,2010-02-24
A_Jiangsu-Quanshan_SWL13_2016|EPI_ISL_207701|A_/_H1N1|2016-01-05,0,EPI_ISL_207701,A_Jiangsu-Quanshan_SWL13_2016,A_/_H1N1,2016-01-05
A_Jiangsu-Quanshan_SWL1462_2023|EPI_ISL_18068715|A_/_H1N1|2023-03-21,2,EPI_ISL_18068715,A_Jiangsu-Quanshan_SWL1462_2023,A_/_H1N1,2023-03-21
A_Jiangsu-Quanshan_SWL1756_2023|EPI_ISL_18068811|A_/_H1N1|2023-05-09,2,EPI_ISL_18068811,A_Jiangsu-Quanshan_SWL1756_2023,A_/_H1N1,2023-05-09
A_Jiangsu-Runzhou_SWL1295_2024|EPI_ISL_19291233|A_/_H1N1|2024-04-30,2,EPI_ISL_19291233,A_Jiangsu-Runzhou_SWL1295_2024,A_/_H1N1,2024-04-30
A_Jiangsu-Runzhou_SWL1799_2017|EPI_ISL_297034|A_/_H1N1|2017-09-25,0,EPI_ISL_297034,A_Jiangsu-Runzhou_SWL1799_2017,A_/_H1N1,2017-09-25
A_Jiangsu-Runzhou_SWL1822_2024|EPI_ISL_19675072|A_/_H1N1|2024-10-30,2,EPI_ISL_19675072,A_Jiangsu-Runzhou_SWL1822_2024,A_/_H1N1,2024-10-30
A_Jiangsu-Runzhou_SWL1854_2017|EPI_ISL_297036|A_/_H1N1|2017-10-12,0,EPI_ISL_297036,A_Jiangsu-Runzhou_SWL1854_2017,A_/_H1N1,2017-10-12
A_Jiangsu-Runzhou_SWL1995_2016|EPI_ISL_242433|A_/_H1N1|2016-12-12,0,EPI_ISL_242433,A_Jiangsu-Runzhou_SWL1995_2016,A_/_H1N1,2016-12-12
A_Jiangsu-Shuyang_SWL315_2024|EPI_ISL_19675027|A_/_H1N1|2024-11-14,2,EPI_ISL_19675027,A_Jiangsu-Shuyang_SWL315_2024,A_/_H1N1,2024-11-14
A_Jiangsu-Shuyang_SWL36_2024|EPI_ISL_19599414|A_/_H1N1|2024-09-11,2,EPI_ISL_19599414,A_Jiangsu-Shuyang_SWL36_2024,A_/_H1N1,2024-09-11
A_Jiangsu-Sucheng_SWL1726_2013|EPI_ISL_153290|A_/_H1N1|2013-11-04,0,EPI_ISL_153290,A_Jiangsu-Sucheng_SWL1726_2013,A_/_H1N1,2013-11-04
A_Jiangsu-Sucheng_SWL1771_2024|EPI_ISL_19599439|A_/_H1N1|2024-10-15,2,EPI_ISL_19599439,A_Jiangsu-Sucheng_SWL1771_2024,A_/_H1N1,2024-10-15
A_Jiangsu-Sucheng_SWL1849_2016|EPI_ISL_242515|A_/_H1N1|2016-10-24,0,EPI_ISL_242515,A_Jiangsu-Sucheng_SWL1849_2016,A_/_H1N1,2016-10-24
A_Jiangsu-Sucheng_SWL1909_2015|EPI_ISL_207751|A_/_H1N1|2015-11-16,0,EPI_ISL_207751,A_Jiangsu-Sucheng_SWL1909_2015,A_/_H1N1,2015-11-16
A_Jiangsu-Sucheng_SWL1945_2018|EPI_ISL_334523|A_/_H1N1|2018-11-21,0,EPI_ISL_334523,A_Jiangsu-Sucheng_SWL1945_2018,A_/_H1N1,2018-11-21
A_Jiangsu-Sucheng_SWL1965_2018|EPI_ISL_334522|A_/_H1N1|2018-11-27,0,EPI_ISL_334522,A_Jiangsu-Sucheng_SWL1965_2018,A_/_H1N1,2018-11-27
A_Jiangsu-Sucheng_SWL1994_2015|EPI_ISL_207694|A_/_H1N1|2015-12-15,0,EPI_ISL_207694,A_Jiangsu-Sucheng_SWL1994_2015,A_/_H1N1,2015-12-15
A_Jiangsu-Tianning_SWL11004_2014|EPI_ISL_169669|A_/_H1N1|2014-12-09,0,EPI_ISL_169669,A_Jiangsu-Tianning_SWL11004_2014,A_/_H1N1,2014-12-09
A_Jiangsu-Tianning_SWL1744_2014|EPI_ISL_168745|A_/_H1N1|2014-09-09,0,EPI_ISL_168745,A_Jiangsu-Tianning_SWL1744_2014,A_/_H1N1,2014-09-09
A_Jiangsu-Tianning_SWL1928_2024|EPI_ISL_19599409|A_/_H1N1|2024-10-30,2,EPI_ISL_19599409,A_Jiangsu-Tianning_SWL1928_2024,A_/_H1N1,2024-10-30
A_Jiangsu-Tianning_SWL2700_2024|EPI_ISL_19599445|A_/_H1N1|2024-09-30,2,EPI_ISL_19599445,A_Jiangsu-Tianning_SWL2700_2024,A_/_H1N1,2024-09-30
A_Jiangsu-Tinghu_1363_2014|EPI_ISL_164788|A_/_H1N1|2014-05-07,0,EPI_ISL_164788,A_Jiangsu-Tinghu_1363_2014,A_/_H1N1,2014-05-07
A_Jiangsu-Tinghu_SWL11116_2018|EPI_ISL_334960|A_/_H1N1|2018-07-11,0,EPI_ISL_334960,A_Jiangsu-Tinghu_SWL11116_2018,A_/_H1N1,2018-07-11
A_Jiangsu-Tinghu_SWL11150_2018|EPI_ISL_334940|A_/_H1N1|2018-07-16,0,EPI_ISL_334940,A_Jiangsu-Tinghu_SWL11150_2018,A_/_H1N1,2018-07-16
A_Jiangsu-Tinghu_SWL11440_2024|EPI_ISL_19599432|A_/_H1N1|2024-10-08,2,EPI_ISL_19599432,A_Jiangsu-Tinghu_SWL11440_2024,A_/_H1N1,2024-10-08
A_Jiangsu-Tinghu_SWL11631_2024|EPI_ISL_19675092|A_/_H1N1|2024-11-12,2,EPI_ISL_19675092,A_Jiangsu-Tinghu_SWL11631_2024,A_/_H1N1,2024-11-12
A_Jiangsu-Tinghu_SWL11805_2024|EPI_ISL_19674977|A_/_H1N1|2024-12-09,2,EPI_ISL_19674977,A_Jiangsu-Tinghu_SWL11805_2024,A_/_H1N1,2024-12-09
A_Jiangsu-Tinghu_SWL1381_2016|EPI_ISL_225328|A_/_H1N1|2016-05-12,0,EPI_ISL_225328,A_Jiangsu-Tinghu_SWL1381_2016,A_/_H1N1,2016-05-12
A_Jiangsu-Tinghu_SWL1386_2023|EPI_ISL_18068910|A_/_H1N1|2023-03-06,2,EPI_ISL_18068910,A_Jiangsu-Tinghu_SWL1386_2023,A_/_H1N1,2023-03-06
A_Jiangsu-Tinghu_SWL1444_2016|EPI_ISL_230744|A_/_H1N1|2016-06-02,0,EPI_ISL_230744,A_Jiangsu-Tinghu_SWL1444_2016,A_/_H1N1,2016-06-02
A_Jiangsu-Tinghu_SWL1586_2024|EPI_ISL_19291251|A_/_H1N1|2024-05-07,4,EPI_ISL_19291251,A_Jiangsu-Tinghu_SWL1586_2024,A_/_H1N1,2024-05-07
A_Jiangsu-Tinghu_SWL1615_2024|EPI_ISL_19291267|A_/_H1N1|2024-05-14,2,EPI_ISL_19291267,A_Jiangsu-Tinghu_SWL1615_2024,A_/_H1N1,2024-05-14
A_Jiangsu-Tinghu_SWL1623_2013|EPI_ISL_153269|A_/_H1N1|2013-09-16,0,EPI_ISL_153269,A_Jiangsu-Tinghu_SWL1623_2013,A_/_H1N1,2013-09-16
A_Jiangsu-Tinghu_SWL1918_2018|EPI_ISL_334965|A_/_H1N1|2018-06-04,0,EPI_ISL_334965,A_Jiangsu-Tinghu_SWL1918_2018,A_/_H1N1,2018-06-04
A_Jiangsu-Wujin_SWL1660_2024|EPI_ISL_19599413|A_/_H1N1|2024-09-25,2,EPI_ISL_19599413,A_Jiangsu-Wujin_SWL1660_2024,A_/_H1N1,2024-09-25
A_Jiangsu-Xinpu_SWL187_2011|EPI_ISL_94577|A_/_H1N1|2011-03-02,0,EPI_ISL_94577,A_Jiangsu-Xinpu_SWL187_2011,A_/_H1N1,2011-03-02
A_Jiangsu-Xuyi_SWL353_2023|EPI_ISL_18068959|A_/_H1N1|2023-03-07,2,EPI_ISL_18068959,A_Jiangsu-Xuyi_SWL353_2023,A_/_H1N1,2023-03-07
A_Jiangsu-Xuzhougulou_SWL11025_2015|EPI_ISL_207691|A_/_H1N1|2015-12-22,0,EPI_ISL_207691,A_Jiangsu-Xuzhougulou_SWL11025_2015,A_/_H1N1,2015-12-22
A_Jiangsu-Xuzhougulou_SWL11041_2015|EPI_ISL_207703|A_/_H1N1|2015-12-29,0,EPI_ISL_207703,A_Jiangsu-Xuzhougulou_SWL11041_2015,A_/_H1N1,2015-12-29
A_Jiangsu-Xuzhougulou_SWL1792_2024|EPI_ISL_19675096|A_/_H1N1|2024-11-04,2,EPI_ISL_19675096,A_Jiangsu-Xuzhougulou_SWL1792_2024,A_/_H1N1,2024-11-04
A_Jiangsu-Xuzhougulou_SWL185_2010|EPI_ISL_74996|A_/_H1N1|2010-02-01,0,EPI_ISL_74996,A_Jiangsu-Xuzhougulou_SWL185_2010,A_/_H1N1,2010-02-01
A_Jiangsu_1_2011|EPI_ISL_85649|A_/_H1N1|2011-01-04,0,EPI_ISL_85649,A_Jiangsu_1_2011,A_/_H1N1,2011-01-04
A_Jiangsu_ALS1_2011|EPI_ISL_93974|A_/_H1N1|2011-01-10,0,EPI_ISL_93974,A_Jiangsu_ALS1_2011,A_/_H1N1,2011-01-10
A_Jiangsubeitang_SWL1144_2013|EPI_ISL_205329|A_/_H1N1|2013-03-28,0,EPI_ISL_205329,A_Jiangsubeitang_SWL1144_2013,A_/_H1N1,2013-03-28
A_Jiangsudanyang_SWL1831_2013|EPI_ISL_205330|A_/_H1N1|2013-10-15,2,EPI_ISL_205330,A_Jiangsudanyang_SWL1831_2013,A_/_H1N1,2013-10-15
A_Jiangsugaoyou_SWL1141_2013|EPI_ISL_205332|A_/_H1N1|2013-03-21,2,EPI_ISL_205332,A_Jiangsugaoyou_SWL1141_2013,A_/_H1N1,2013-03-21
A_Jiangsugaoyou_SWL1199_2013|EPI_ISL_205334|A_/_H1N1|2013-04-11,2,EPI_ISL_205334,A_Jiangsugaoyou_SWL1199_2013,A_/_H1N1,2013-04-11
A_Jiangsugusu_SWL1824_2013|EPI_ISL_205331|A_/_H1N1|2013-07-18,0,EPI_ISL_205331,A_Jiangsugusu_SWL1824_2013,A_/_H1N1,2013-07-18
A_Jiangsuhailing_SWL1382_2013|EPI_ISL_205333|A_/_H1N1|2013-04-25,0,EPI_ISL_205333,A_Jiangsuhailing_SWL1382_2013,A_/_H1N1,2013-04-25
A_Jiangsunanchang_SWL1100_2013|EPI_ISL_205335|A_/_H1N1|2013-03-18,0,EPI_ISL_205335,A_Jiangsunanchang_SWL1100_2013,A_/_H1N1,2013-03-18
A_Jiangsunanjing_S1488_2013|EPI_ISL_205336|A_/_H1N1|2013-03-28,0,EPI_ISL_205336,A_Jiangsunanjing_S1488_2013,A_/_H1N1,2013-03-28
A_Jiangsupizhou_SWL36_2013|EPI_ISL_205337|A_/_H1N1|2013-03-07,0,EPI_ISL_205337,A_Jiangsupizhou_SWL36_2013,A_/_H1N1,2013-03-07
A_Jiangsuqinhuai_SWL1554_2013|EPI_ISL_205338|A_/_H1N1|2013-01-14,0,EPI_ISL_205338,A_Jiangsuqinhuai_SWL1554_2013,A_/_H1N1,2013-01-14
A_Jiangsuquanshan_SWL11849_2013|EPI_ISL_205339|A_/_H1N1|2013-12-30,0,EPI_ISL_205339,A_Jiangsuquanshan_SWL11849_2013,A_/_H1N1,2013-12-30
A_Jiangsusucheng_SWL1148_2013|EPI_ISL_205340|A_/_H1N1|2013-04-08,0,EPI_ISL_205340,A_Jiangsusucheng_SWL1148_2013,A_/_H1N1,2013-04-08
A_Jiangsutinghu_SWL1354_2013|EPI_ISL_205341|A_/_H1N1|2013-06-17,0,EPI_ISL_205341,A_Jiangsutinghu_SWL1354_2013,A_/_H1N1,2013-06-17
A_Jiangsutinghu_SWL1358_2013|EPI_ISL_205342|A_/_H1N1|2013-06-18,0,EPI_ISL_205342,A_Jiangsutinghu_SWL1358_2013,A_/_H1N1,2013-06-18
A_Jiangxi-Anyuan_SWL112_2020|EPI_ISL_410638|A_/_H1N1|2020-01-01,0,EPI_ISL_410638,A_Jiangxi-Anyuan_SWL112_2020,A_/_H1N1,2020-01-01
A_Jiangxi-Anyuan_SWL1363_2023|EPI_ISL_18068690|A_/_H1N1|2023-04-03,2,EPI_ISL_18068690,A_Jiangxi-Anyuan_SWL1363_2023,A_/_H1N1,2023-04-03
A_Jiangxi-Dayu_SWL31_2018|EPI_ISL_337321|A_/_H1N1|2018-12-19,0,EPI_ISL_337321,A_Jiangxi-Dayu_SWL31_2018,A_/_H1N1,2018-12-19
A_Jiangxi-Donghu_SWL1132_2010|EPI_ISL_74964|A_/_H1N1|2010-02-03,0,EPI_ISL_74964,A_Jiangxi-Donghu_SWL1132_2010,A_/_H1N1,2010-02-03
A_Jiangxi-Donghu_SWL1172_2010|EPI_ISL_74965|A_/_H1N1|2010-02-12,0,EPI_ISL_74965,A_Jiangxi-Donghu_SWL1172_2010,A_/_H1N1,2010-02-12
A_Jiangxi-Donghu_SWL131_2010|EPI_ISL_74952|A_/_H1N1|2010-01-07,0,EPI_ISL_74952,A_Jiangxi-Donghu_SWL131_2010,A_/_H1N1,2010-01-07
A_Jiangxi-Donghu_SWL1382_2023|EPI_ISL_18068989|A_/_H1N1|2023-03-08,2,EPI_ISL_18068989,A_Jiangxi-Donghu_SWL1382_2023,A_/_H1N1,2023-03-08
A_Jiangxi-Donghu_SWL1489_2024|EPI_ISL_19291145|A_/_H1N1|2024-03-19,2,EPI_ISL_19291145,A_Jiangxi-Donghu_SWL1489_2024,A_/_H1N1,2024-03-19
A_Jiangxi-Donghu_SWL1564_2019|EPI_ISL_367237|A_/_H1N1|2019-03-13,0,EPI_ISL_367237,A_Jiangxi-Donghu_SWL1564_2019,A_/_H1N1,2019-03-13
A_Jiangxi-Donghu_SWL157_2010|EPI_ISL_75064|A_/_H1N1|2010-01-13,0,EPI_ISL_75064,A_Jiangxi-Donghu_SWL157_2010,A_/_H1N1,2010-01-13
A_Jiangxi-Donghu_SWL15_2010|EPI_ISL_74951|A_/_H1N1|2010-01-04,0,EPI_ISL_74951,A_Jiangxi-Donghu_SWL15_2010,A_/_H1N1,2010-01-04
A_Jiangxi-Donghu_SWL54_2010|EPI_ISL_75016|A_/_H1N1|2010-01-10,0,EPI_ISL_75016,A_Jiangxi-Donghu_SWL54_2010,A_/_H1N1,2010-01-10
A_Jiangxi-Fenyi_SWL32_2023|EPI_ISL_18068990|A_/_H1N1|2023-03-09,2,EPI_ISL_18068990,A_Jiangxi-Fenyi_SWL32_2023,A_/_H1N1,2023-03-09
A_Jiangxi-Fuliang_SWL32_2023|EPI_ISL_18068911|A_/_H1N1|2023-03-20,2,EPI_ISL_18068911,A_Jiangxi-Fuliang_SWL32_2023,A_/_H1N1,2023-03-20
A_Jiangxi-Guixi_SWL1166_2023|EPI_ISL_18068991|A_/_H1N1|2023-02-26,2,EPI_ISL_18068991,A_Jiangxi-Guixi_SWL1166_2023,A_/_H1N1,2023-02-26
A_Jiangxi-Jizhou_SWL1279_2023|EPI_ISL_18068692|A_/_H1N1|2023-03-22,2,EPI_ISL_18068692,A_Jiangxi-Jizhou_SWL1279_2023,A_/_H1N1,2023-03-22
A_Jiangxi-Jizhou_SWL1413_2019|EPI_ISL_367282|A_/_H1N1|2019-05-21,0,EPI_ISL_367282,A_Jiangxi-Jizhou_SWL1413_2019,A_/_H1N1,2019-05-21
A_Jiangxi-Jizhou_SWL1501_2017|EPI_ISL_278683|A_/_H1N1|2017-06-20,0,EPI_ISL_278683,A_Jiangxi-Jizhou_SWL1501_2017,A_/_H1N1,2017-06-20
A_Jiangxi-Jizhou_SWL1550_2023|EPI_ISL_18068634|A_/_H1N1|2023-05-04,2,EPI_ISL_18068634,A_Jiangxi-Jizhou_SWL1550_2023,A_/_H1N1,2023-05-04
A_Jiangxi-Linchuan_SWL1268_2023|EPI_ISL_18068992|A_/_H1N1|2023-03-06,2,EPI_ISL_18068992,A_Jiangxi-Linchuan_SWL1268_2023,A_/_H1N1,2023-03-06
A_Jiangxi-Xinzhou_SWL14_2018|EPI_ISL_297050|A_/_H1N1|2018-01-01,0,EPI_ISL_297050,A_Jiangxi-Xinzhou_SWL14_2018,A_/_H1N1,2018-01-01
A_Jiangxi-Xunyang_SWL165_2024|EPI_ISL_19291044|A_/_H1N1|2024-02-26,2,EPI_ISL_19291044,A_Jiangxi-Xunyang_SWL165_2024,A_/_H1N1,2024-02-26
A_Jiangxi-Yuehu_SWL1185_2019|EPI_ISL_367309|A_/_H1N1|2019-02-12,0,EPI_ISL_367309,A_Jiangxi-Yuehu_SWL1185_2019,A_/_H1N1,2019-02-12
A_Jiangxi-Yuehu_SWL1488_2023|EPI_ISL_18068636|A_/_H1N1|2023-05-01,2,EPI_ISL_18068636,A_Jiangxi-Yuehu_SWL1488_2023,A_/_H1N1,2023-05-01
A_Jiangxi-Yushui_SWL1220_2014|EPI_ISL_178222|A_/_H1N1|2014-03-12,0,EPI_ISL_178222,A_Jiangxi-Yushui_SWL1220_2014,A_/_H1N1,2014-03-12
A_Jiangxi-Zhanggong_SWL11019_2018|EPI_ISL_337322|A_/_H1N1|2018-12-18,0,EPI_ISL_337322,A_Jiangxi-Zhanggong_SWL11019_2018,A_/_H1N1,2018-12-18
A_Jiangxi-Zhanggong_SWL1305_2019|EPI_ISL_367224|A_/_H1N1|2019-04-01,0,EPI_ISL_367224,A_Jiangxi-Zhanggong_SWL1305_2019,A_/_H1N1,2019-04-01
A_Jiangxi-Zhanggong_SWL1317_2017|EPI_ISL_270645|A_/_H1N1|2017-04-17,0,EPI_ISL_270645,A_Jiangxi-Zhanggong_SWL1317_2017,A_/_H1N1,2017-04-17
A_Jiangxi-Zhanggong_SWL169_2019|EPI_ISL_367313|A_/_H1N1|2019-01-21,0,EPI_ISL_367313,A_Jiangxi-Zhanggong_SWL169_2019,A_/_H1N1,2019-01-21
A_Jiangxi-Zhanggong_SWL18_2019|EPI_ISL_337379|A_/_H1N1|2019-01-02,0,EPI_ISL_337379,A_Jiangxi-Zhanggong_SWL18_2019,A_/_H1N1,2019-01-02
A_Jiangxi-Zhanggong_SWL52_2010|EPI_ISL_75017|A_/_H1N1|2010-01-05,0,EPI_ISL_75017,A_Jiangxi-Zhanggong_SWL52_2010,A_/_H1N1,2010-01-05
A_Jiangxi-Zhushan_SWL1955_2018|EPI_ISL_334521|A_/_H1N1|2018-12-01,0,EPI_ISL_334521,A_Jiangxi-Zhushan_SWL1955_2018,A_/_H1N1,2018-12-01
A_Jilin-Changyi_SWL1182_2024|EPI_ISL_19675007|A_/_H1N1|2024-12-03,2,EPI_ISL_19675007,A_Jilin-Changyi_SWL1182_2024,A_/_H1N1,2024-12-03
A_Jilin-Changyi_SWL1213_2024|EPI_ISL_19674969|A_/_H1N1|2024-12-10,2,EPI_ISL_19674969,A_Jilin-Changyi_SWL1213_2024,A_/_H1N1,2024-12-10
A_Jilin-Chaoyang_SWL11408_2024|EPI_ISL_19674968|A_/_H1N1|2024-12-09,2,EPI_ISL_19674968,A_Jilin-Chaoyang_SWL11408_2024,A_/_H1N1,2024-12-09
A_Jilin-Chaoyang_SWL1144_2024|EPI_ISL_19291021|A_/_H1N1|2024-02-17,2,EPI_ISL_19291021,A_Jilin-Chaoyang_SWL1144_2024,A_/_H1N1,2024-02-17
A_Jilin-Chaoyang_SWL1147_2016|EPI_ISL_223471|A_/_H1N1|2016-01-25,0,EPI_ISL_223471,A_Jilin-Chaoyang_SWL1147_2016,A_/_H1N1,2016-01-25
A_Jilin-Chaoyang_SWL139_2019|EPI_ISL_337348|A_/_H1N1|2019-01-02,0,EPI_ISL_337348,A_Jilin-Chaoyang_SWL139_2019,A_/_H1N1,2019-01-02
A_Jilin-Chaoyang_SWL1587_2023|EPI_ISL_18068971|A_/_H1N1|2023-03-13,4,EPI_ISL_18068971,A_Jilin-Chaoyang_SWL1587_2023,A_/_H1N1,2023-03-13
A_Jilin-Chaoyang_SWL1712_2023|EPI_ISL_18068697|A_/_H1N1|2023-03-27,4,EPI_ISL_18068697,A_Jilin-Chaoyang_SWL1712_2023,A_/_H1N1,2023-03-27
A_Jilin-Chaoyang_SWL1796_2023|EPI_ISL_18068670|A_/_H1N1|2023-04-10,0,EPI_ISL_18068670,A_Jilin-Chaoyang_SWL1796_2023,A_/_H1N1,2023-04-10
A_Jilin-Chaoyang_SWL1854_2023|EPI_ISL_18068657|A_/_H1N1|2023-04-17,2,EPI_ISL_18068657,A_Jilin-Chaoyang_SWL1854_2023,A_/_H1N1,2023-04-17
A_Jilin-Chuanying_SWL11338_2019|EPI_ISL_410707|A_/_H1N1|2019-12-16,0,EPI_ISL_410707,A_Jilin-Chuanying_SWL11338_2019,A_/_H1N1,2019-12-16
A_Jilin-Chuanying_SWL1186_2011|EPI_ISL_94581|A_/_H1N1|2011-03-14,0,EPI_ISL_94581,A_Jilin-Chuanying_SWL1186_2011,A_/_H1N1,2011-03-14
A_Jilin-Chuanying_SWL122_2017|EPI_ISL_253309|A_/_H1N1|2017-01-02,0,EPI_ISL_253309,A_Jilin-Chuanying_SWL122_2017,A_/_H1N1,2017-01-02
A_Jilin-Chuanying_SWL14_2020|EPI_ISL_485561|A_/_H1N1|2020-01-08,0,EPI_ISL_485561,A_Jilin-Chuanying_SWL14_2020,A_/_H1N1,2020-01-08
A_Jilin-Chuanying_SWL1525_2023|EPI_ISL_18068972|A_/_H1N1|2023-03-07,2,EPI_ISL_18068972,A_Jilin-Chuanying_SWL1525_2023,A_/_H1N1,2023-03-07
A_Jilin-Chuanying_SWL1595_2018|EPI_ISL_335061|A_/_H1N1|2018-04-17,0,EPI_ISL_335061,A_Jilin-Chuanying_SWL1595_2018,A_/_H1N1,2018-04-17
A_Jilin-Dongchang_SWL11_2014|EPI_ISL_178245|A_/_H1N1|2014-01-01,0,EPI_ISL_178245,A_Jilin-Dongchang_SWL11_2014,A_/_H1N1,2014-01-01
A_Jilin-Dongchang_SWL1267_2019|EPI_ISL_367217|A_/_H1N1|2019-04-01,0,EPI_ISL_367217,A_Jilin-Dongchang_SWL1267_2019,A_/_H1N1,2019-04-01
A_Jilin-Dongchang_SWL13_2019|EPI_ISL_337350|A_/_H1N1|2019-01-02,0,EPI_ISL_337350,A_Jilin-Dongchang_SWL13_2019,A_/_H1N1,2019-01-02
A_Jilin-Hunjiang_SWL1285_2023|EPI_ISL_18068892|A_/_H1N1|2023-03-08,2,EPI_ISL_18068892,A_Jilin-Hunjiang_SWL1285_2023,A_/_H1N1,2023-03-08
A_Jilin-Jingjijishukaifa_SWL310_2023|EPI_ISL_18069073|A_/_H1N1|2023-02-17,2,EPI_ISL_18069073,A_Jilin-Jingjijishukaifa_SWL310_2023,A_/_H1N1,2023-02-17
A_Jilin-Longshan_SWL117_2014|EPI_ISL_178227|A_/_H1N1|2014-01-07,0,EPI_ISL_178227,A_Jilin-Longshan_SWL117_2014,A_/_H1N1,2014-01-07
A_Jilin-Longshan_SWL1646_2024|EPI_ISL_19675006|A_/_H1N1|2024-12-03,2,EPI_ISL_19675006,A_Jilin-Longshan_SWL1646_2024,A_/_H1N1,2024-12-03
